"Name","Place Type","Place Tags","Keg Count","Address","City","State","Postcode","Country","Place Radius (m)"
"Mercure Hotel Sydney Airport","Venue",,"2","32 Levey Street","Wolli Creek","New South Wales","2205","Australia","50"
"Hotel Ibis Newcastle","Venue",,"2","684 Hunter Street","Newcastle West","New South Wales","2300","Australia","50"
"Blacket Hotel","Venue",,"2","58-68 King Street","Sydney","New South Wales","2000","Australia","50"
"Hotel and Lodge Woodenbridge","Venue",,"1",,,"County Wicklow",,"Ireland","50"
"Doubletree Hotel&Suites Pittsburgh City Center","Venue",,"1","3 Bigelow Square","Pittsburgh","Pennsylvania","15219","United States","50"
"Ramada Altoona Hotel & Confe","Venue",,"1","20 Sheraton Drive","Altoona","Pennsylvania","9316","United States","50"
"Holiday Inn Express Hotel & Suites Lewisburg","Venue",,"1","520 North Jefferson Street","Lewisburg","West Virginia","24901","United States","50"
"Inn Of Rosslyn Former Hotel 50","Venue",,"1","1601 Arlington Boulevard","Arlington","Virginia","22209","United States","50"
"Mithila Hotel","Venue",,"1","967 Sutter Street","San Francisco","California","94109","United States","50"
"Holiday Inn Hotel & Suites San Mateo-San Francisco Sfo","Venue",,"1","300 North Bayshore Boulevard","San Mateo","California","1235","United States","50"
"Hotel Harbor Court - A Kimpton Property","Venue",,"1","165 Steuart Street","San Francisco","California","1206","United States","50"
"Pier 2620 Hotel","Venue",,"1","2620 Jones Street","San Francisco","California","94133","United States","50"
"Sea Crest Oceanfront Hotel Pismo Beach","Venue",,"1",,"Pismo Beach","California","93449","United States","50"
"Clarion Hotel","Venue",,"1","1050 Burnett Avenue","Concord","California","94520","United States","50"
"Four Points By Sheraton Hotel & Suites","Venue",,"1",,"South San Francisco","California","94080","United States","50"
"Days Hotel Oakland Airport-Coliseum","Venue",,"1","8350 Edes Avenue","Oakland","California","1307","United States","50"
"Holiday Inn Hotel & Suites Beckley","Venue",,"1","100 Skyline Drive","Beckley","West Virginia","25801","United States","50"
"Claremont Hotel Club & Spa","Venue",,"1","36 Slater Lane","Berkeley","California","1443","United States","50"
"Holiday Inn Express Hotel & Suites Zanesville North","Venue",,"1","1015 Mershon Lane","Zanesville","Ohio","43701","United States","50"
"Best Western Sonora Oaks Hotel & Conference Ctr.","Venue",,"1","19551 Hess Avenue","Sonora","California","95370","United States","50"
"Chase Suite Hotel Hunt Valley","Venue",,"1",,"Cockeysville","Maryland","21030","United States","50"
"Warwick Regis Hotel","Venue",,"1","495 Geary Street","San Francisco","California","94102","United States","50"
"Harrah's Hotel Reno","Venue",,"1","10 North Center Street","Reno","Nevada","89501","United States","50"
"Hotel Griffon","Venue",,"1","165 Steuart Street","San Francisco","California","94105","United States","50"
"Doubletree Hotel San Jose","Venue",,"1","2046 Gateway Place","San Jose","California","95110","United States","50"
"Clarion Hotel San Francisco Airport","Venue",,"1","477 Millbrae Avenue","Millbrae","California","94030","United States","50"
"Mill Valley Inn, a Joie de Vivre Boutique Hotel","Venue",,"1","169 Throckmorton Avenue","Mill Valley","California","94941","United States","50"
"Sheraton Gateway San Francisco Airport Hotel","Venue",,"1",,"Burlingame","California","94010","United States","50"
"Hotel Durant","Venue",,"1","2550 Durant Avenue","Berkeley","California","94704","United States","50"
"Wyndham Garden Hotel Harrisburg-Hershey","Venue",,"1","53200 North 62nd Street","Harrisburg","Pennsylvania","17111","United States","50"
"Renoir Hotel","Venue",,"1","1091 Market Street","San Francisco","California","1605","United States","50"
"Sheraton Independence Hotel","Venue",,"1","5200 Rockside Road","Independence","Ohio","44131","United States","50"
"Mendocino Hotel-garden Suites","Venue",,"1","45094 Main Street","Mendocino","California","95460","United States","50"
"Petite Auberge, a Joie de Vivre Boutique Hotel","Venue",,"1","855 Bush Street","San Francisco","California","94108","United States","50"
"Ameristay Hotel Inn & Suites","Venue",,"1","324 West Emmitt Avenue","Waverly","Ohio","45690","United States","50"
"Hotel Healdsburg","Venue",,"1","14 Matheson Street","Healdsburg","California","95448","United States","50"
"Grant Hotel","Venue",,"1","775 Bush Street","San Francisco","California","94108","United States","50"
"Waterfront Place Hotel","Venue",,"1","736 Mel Brand Road","Morgantown","West Virginia","5820","United States","50"
"Tahoe Biltmore Hotel & Casino","Venue",,"1","26 Nevada 28","Crystal Bay","Nevada","89402","United States","50"
"Cardinal Hotel","Venue",,"1","581 Ramona Street","Palo Alto","California","1710","United States","50"
"Clarion Hotel And Conference Ce","Venue",,"1","4715 Kearneysville Pike","Shepherdstown","West Virginia","4666","United States","50"
"Red Lion Hotel Modesto","Venue",,"1","1612 Sisk Road","Modesto","California","95350","United States","50"
"Clarion Hotel & Conference Center Antietam Creek","Venue",,"1","Building A 931 Dual Highway","Hagerstown","Maryland","21740","United States","50"
"Radisson Hotel San Jose Airport","Venue",,"1","1444 North 4th Street","San Jose","California","95112","United States","50"
"Spaulding Hotel","Venue",,"1","350 Powell Street","San Francisco","California","94108","United States","50"
"City Hotel Water Tower (historic)","Venue",,"1","45300 Main Street","Mendocino","California","95460","United States","50"
"Crowne Plaza Hotel Cleveland City Centre","Venue",,"1","777 Saint Clair Avenue Northeast","Cleveland","Ohio","44114","United States","50"
"Grand Residences By Marriott Lake Hotel N22111","Venue",,"1","1001 Heavenly Village Way","South Lake Tahoe","California","96150","United States","50"
"The Westin San Francisco Market Street Hotel","Venue",,"1","50 3rd Street","San Francisco","California","94103","United States","50"
"Hotel Palomar Sfo A Kimpton Hotel","Venue",,"1",,"San Francisco","California","94103","United States","50"
"Holiday Inn Express Hotel & Suites Akron Regional Airport Area","Venue",,"1","3180 South Arlington Road","Akron","Ohio","44312","United States","50"
"Bragg Towers Extended Stay Hotel","Venue",,"1","43 Bragg Street","Alexandria","Virginia","22312","United States","50"
"Holiday Inn Hotel and Suites","Venue",,"1","755 Stelzer Road","Columbus","Ohio","43219","United States","50"
"Post Hotel and Hostel","Venue",,"1","601 Taylor Street","San Francisco","California","94102","United States","50"
"Larkspur Hotel Truckee Tahoe","Venue",,"1","10150 Jeffery Pine Road","Truckee","California","96161","United States","50"
"Pontiac Hotel","Venue",,"1","509 Minna Street","San Francisco","California","94103","United States","50"
"Whitney Peak Hotel","Venue",,"1","255 North Virginia Street","Reno","Nevada","89501","United States","50"
"Crowne Plaza Hotel Columbus-Do","Venue",,"1","44 East Nationwide Boulevard","Columbus","Ohio","43215","United States","50"
"Holiday Inn Express Hotel & Suites El Dorado Hills","Venue",,"1","4316 Town Center Boulevard","El Dorado Hills","California","95762","United States","50"
"Holiday Inn Express Hotel & Suites Hagerstown","Venue",,"1","220 Railway Lane","Hagerstown","Maryland","21740","United States","50"
"Holiday Inn Express Hotel & Suites Findley Lake I-86 Exit 4","Venue",,"1","2905 New York 426","Findley Lake","New York","14736","United States","50"
"Holiday Inn Express Hotel & Suites Marion","Venue",,"1","1842 Marion-Mt Gilead Road","Marion","Ohio","43302","United States","50"
"Holiday Inn Express Hotel & Suites Culpeper","Venue",,"1","791 Madison Road","Culpeper","Virginia","22701","United States","50"
"Holiday Inn Express Hotel & Suites Charleston South","Venue",,"1","94 Rhl Boulevard","South Charleston","West Virginia","25309","United States","50"
"Holiday Inn Express Hotel & Suites Ashland","Venue",,"1","1222 U.S. 60","Ashland","Kentucky","41102","United States","50"
"Holiday Inn Express Hotel & Suites Harrisburg","Venue",,"1","5680 Allentown Boulevard","Harrisburg","Pennsylvania","17112","United States","50"
"Wawona Hotel","Venue",,"1","Wawona Road","Wawona","California","95389","United States","50"
"Best Western Hotel And Suites","Venue",,"1","1251 West Montgomery Avenue","Rockville","Maryland","20850","United States","50"
"Holiday Inn Express Hotel & Suites Santa Clara","Venue",,"1",,"Palo Alto","California","94306","United States","50"
"Holiday Inn Express Hotel And Suites Cleveland Downtown","Venue",,"1",,"Cleveland","Ohio","44114","United States","50"
"Doubletree By Hilton Hotel Pittsburgh Monroeville Conventi","Venue",,"1","122 Mall Plaza Boulevard","Monroeville","Pennsylvania","2210","United States","50"
"Doubletree By Hilton Hotel Cleveland East Beachwood","Venue",,"1","400 Park East Drive","Beachwood","Ohio","44122","United States","50"
"The Country Inn & Suites Hotel By Carlson Macedonia","Venue",,"1","7820 Capital Boulevard","Macedonia","Ohio","44056","United States","50"
"Ramada Plaza Hotel Dayton","Venue",,"1","2248 Wagner Ford Road","Dayton","Ohio","45414","United States","50"
"Holiday Inn Express Hotel & Suites Ex I-71 Oh Stat","Venue",,"1","696 East Hudson Street","Columbus","Ohio","43211","United States","50"
"Crowne Plaza Hotel Cleveland South - Independence","Venue",,"1","5200 Rockside Road","Independence","Ohio","44131","United States","50"
"Days Hotel Oakland Airport","Venue",,"1","173 Hilltop Crescent","Walnut Creek","California","3407","United States","50"
"Citygarden Hotel","Venue",,"1","222 South Airport Boulevard","South San Francisco","California","6701","United States","50"
"Sheraton San Jose Hotel","Venue",,"1","1811 Barber Lane","Milpitas","California","7419","United States","50"
"Omni San Francisco Hotel","Venue",,"1","210 465 California Street","San Francisco","California","94104","United States","50"
"Wheaton and Hollis Hotel","Venue",,"1","Green Street","Bridgeport","California","93517","United States","50"
"Doubletree Hotel & Executive Meeting Center Berkeley Marina","Venue",,"1","255 Marina Boulevard","Berkeley","California","94710","United States","50"
"Hotel Metropolis- A Personality Hotel","Venue",,"1","948 Market Street","San Francisco","California","94102","United States","50"
"Savoy Hotel","Venue",,"1","585 Geary Street","San Francisco","California","94102","United States","50"
"Willard Hotel","Venue",,"1","1401 Pennsylvania Avenue Northwest","Washington","District of Columbia","20004","United States","50"
"Diamant Hotel","Venue",,"1","15 Edinburgh Avenue","Canberra","Australian Capital Territory","2601","Australia","50"
"Quality Cks Sydney Airport Hotel","Venue",,"1","25 Innesdale Road","Wolli Creek","New South Wales","2205","Australia","50"
"Cypress Lakes Resort By Oaks Hotels And Resorts","Venue",,"1","15 Thompsons Road","Pokolbin","New South Wales","2320","Australia","50"
"Quality Hotel Sands","Venue",,"1","1260 Pittwater Road","Narrabeen","New South Wales","2101","Australia","50"
"Mgsm Executive Hotel and Conference Centre","Venue",,"1","73 Talavera Road","Macquarie Park","New South Wales","2113","Australia","50"
"Rydges Hotel Cronulla Sydney","Venue",,"1","26 Kingsway","Cronulla","New South Wales","2230","Australia","50"
"Adina Apartment Hotel Sydney Crown Street","Venue",,"1","371 Crown Street","Surry Hills","New South Wales","2010","Australia","50"
"Posh Hotel","Venue",,"1","8-14 Broadway","Chippendale","New South Wales","2008","Australia","50"
"Holiday Lodge Hotel","Venue",,"1","55 Macleay Street","Potts Point","New South Wales","2011","Australia","50"
"Peppers Gallery Hotel","Venue",,"1","608 Edinburgh Avenue","Acton","Australian Capital Territory","2601","Australia","50"
"Adge Boutique Apartment Hotel","Venue",,"1","220 Riley Street","Surry Hills","New South Wales","2010","Australia","50"
"Echoes Boutique Hotel","Venue",,"1","3 Lilianfels Avenue","Katoomba","New South Wales","2780","Australia","50"
"Station Hotel Parkes","Venue",,"1","82 Peak Hill Road","Parkes","New South Wales","2870","Australia","50"
"Adina Apartment Hotels Chippendale","Venue",,"1","76 Ivy Street","Darlington","New South Wales","2008","Australia","50"
"Adina Apartment Hotel Canberra James Court","Venue",,"1","74 Northbourne Avenue","Canberra","Australian Capital Territory","2601","Australia","50"
"Hyatt Hotel Canberra A Park Hya","Venue",,"1",,"Symonston","Australian Capital Territory","2609","Australia","50"
"Olims Canberra Hotel","Venue",,"1",,"Symonston","Australian Capital Territory","2609","Australia","50"
"Quality Hotel Dickson Premier","Venue",,"1",,"Symonston","Australian Capital Territory","2609","Australia","50"
"Coogee Sands Hotel And Apts","Venue",,"1","156 Coogee Bay Road","Coogee","New South Wales","2034","Australia","50"
"Pacific Intl Hotel Apts Bankstown","Venue",,"1",,"Bankstown","New South Wales","2200","Australia","50"
"Establishment Hotel","Venue",,"1","38b Martin Place","Sydney","New South Wales","2000","Australia","50"
"Harbour Rocks Hotel","Venue",,"1","55 Harrington Street","The Rocks","New South Wales","2000","Australia","50"
"Sydney Marriott Hotel","Venue",,"1","38 College Street","Darlinghurst","New South Wales","2010","Australia","50"
"Avillion Hotel Sydney","Venue",,"1","350B Pitt Street","Sydney","New South Wales","2000","Australia","50"
"Vibe Hotel Rushcutters Sydney","Venue",,"1","1A, Ground Floor 1A, Ground Floor 100 Bayswater Road","Rushcutters Bay","New South Wales","2011","Australia","50"
"Rendezvous Stafford Hotel Sydney","Venue",,"1","75 Harrington Street","The Rocks","New South Wales","2000","Australia","50"
"Marque Hotel Sydney","Venue",,"1","1290 George Street","Haymarket","New South Wales","2000","Australia","50"
"Mgsm Executive Hotel","Venue",,"1",,"North Ryde","New South Wales","2113","Australia","50"
"The Observatory Hotel","Venue",,"1",,"Millers Point","New South Wales","2000","Australia","50"
"Savoy Hotel Double Bay","Venue",,"1","2 2 21-25 Knox Street","Double Bay","New South Wales","2028","Australia","50"
"The Russell Hotel","Venue",,"1","139 George Street","The Rocks","New South Wales","2000","Australia","50"
"Pensione Hotel Sydney","Venue",,"1","710 George Street","Haymarket","New South Wales","2000","Australia","50"
"The Entrance Waldorf Apartment Hotel","Venue",,"1","15 Coral Street","The Entrance","New South Wales","2261","Australia","50"
"Apartment Hotel East Sydney","Venue",,"1","144 Liverpool Street","Darlinghurst","New South Wales","2010","Australia","50"
"Redcar Hotel","Venue",,"1","27-29 Henrietta Street","Avon","England","BA2 6LR","United Kingdom","50"
"Manor Of Groves Hotel","Venue",,"1","Sawbridgeworth Road",,"England","CM21 9HX","United Kingdom","50"
"Britannia Hotel Newcastle Apt","Venue",,"1","40 Woolsington Park South","Woolsington","England","NE13 8BJ","United Kingdom","50"
"George Hotel","Venue",,"1","60A High Street","Leadenham","England","LN5 0PN","United Kingdom","50"
"Days Hotel Hounslow","Venue",,"1","8-10 Lampton Road",,"England","TW3 1JL","United Kingdom","50"
"Rosedene Hotel","Venue",,"1","94A Ebury Street",,"England","SW1W 9QD","United Kingdom","50"
"Moonfleet Manor Hotel","Venue",,"1","Pasture Road",,"England","BD23 6PR","United Kingdom","50"
"Aston Hotel Darlington","Venue",,"1",,,"England","DL1 3NL","United Kingdom","50"
"Best Western White House Hotel","Venue",,"1","27-29 Upton Road",,"England","WD18 0JF","United Kingdom","50"
"The Bridge Hotel","Venue",,"1","1 Western Avenue",,"England","NW11 9HG","United Kingdom","50"
"Majestic Hotel","Venue",,"1",,,"England","SW5 0TQ","United Kingdom","50"
"Royal Horseguards Thistle Hotel","Venue",,"1","2 Whitehall Court",,"England","SW1A 2EJ","United Kingdom","50"
"Clumber Park Hotel","Venue",,"1","Blyth Road",,"England","S80 3PA","United Kingdom","50"
"DoubleTree by Hilton Hotel Swindon","Venue",,"1",,,"England","SN5 8UZ","United Kingdom","50"
"Oxford Hotel","Venue",,"1","Godstow Road",,"England","OX2 8AL","United Kingdom","50"
"The Vincent Hotel","Venue",,"1","98 Lord Street",,"England","PR8 1JR","United Kingdom","50"
"Bulgari Hotel And Residences London","Venue",,"1","10 Knightsbridge Green",,"England","SW1X 7QL","United Kingdom","50"
"Menzies And Golf Course Hotel","Venue",,"1",,"Bar Hill","England","CB23 8EF","United Kingdom","50"
"London Northwest Hotel Susp","Venue",,"1","The Elms Nicoll Road",,"England","NW10 9AA","United Kingdom","50"
"Cavendish Hotel","Venue",,"1","11 Pleasant Street",,"England","FY1 2JA","United Kingdom","50"
"The Wellesley Hotel London","Venue",,"1","11 Knightsbridge",,"England","SW1X 7LY","United Kingdom","50"
"Stirrups Hotel","Venue",,"1","1 Bracknell Road","Maiden's Green","England","RG42 6LD","United Kingdom","50"
"Boxhill - Buford Bridge Hotel Railway Station","Venue",,"1",,,"England","RH5 6BX","United Kingdom","50"
"Abbot S House Hotel Bandb","Venue",,"1","9 Links Place",,"Scotland","EH6 7EZ","United Kingdom","50"
"Corus Hotel The Chace","Venue",,"1","671 London Road",,"England","CV3 4EX","United Kingdom","50"
"Hotel The Thistle Haydock","Venue",,"1",,"Haydock","England","WA11 9SG","United Kingdom","50"
"The Victoria Hotel","Venue",,"1","Hollinwood Avenue","Chadderton","England","OL9 8RU","United Kingdom","50"
"St Giles London St Giles Classic Hotel","Venue",,"1","43-45 Bedford Square",,"England","WC1B 3DN","United Kingdom","50"
"St Giles Heathrow St Giles Classic Hotel","Venue",,"1",,"London","England","TW2 6GB","United Kingdom","50"
"Radisson Blu Edwardian Bloomsbury Street Hotel","Venue",,"1","9-14 Bloomsbury Street",,"England","WC1B 3QD","United Kingdom","50"
"Bloomsbury Park A Thistle Associate Hotel","Venue",,"1","126 Southampton Row",,"England","WC1B 5AD","United Kingdom","50"
"Best Western Palm Hotel","Venue",,"1","9-10 West Smithfield",,"England","EC1A 9JR","United Kingdom","50"
"The Red Lion Hotel","Venue",,"1","31 Hart Street",,"England","RG9 2AR","United Kingdom","50"
"Plush Hotel Bristol Airport","Venue",,"1","Lye Hole Lane","Redhill","England","BS40 5TD","United Kingdom","50"
"Hotel Apsis Art Hotel","Venue",,"0",,,,,,"50"
"Hotel El Pueblo Tamlet","Venue",,"0",,,,,,"50"
"Hotel Residence Golden Beach","Venue",,"0",,,,,,"50"
"Appart-Hotel Founty Beach","Venue",,"0",,,,,,"50"
"Tildi Hotel Agadir","Venue",,"0",,,,,,"50"
"Hotel Al Bassatine","Venue",,"0",,,,,,"50"
"Prince De Paris Hotel","Venue",,"0",,,,,,"50"
"Hotel Ibis Casablanca Sidi Maarouf","Venue",,"0",,,,,,"50"
"Les Iles Hotel","Venue",,"0",,,,,,"50"
"Le Medina Essaouira Hotel Thalassa Sea & Spa Mgallery","Venue",,"0",,,,,,"50"
"Hotel Atlas Rif & Spa","Venue",,"0",,,,,,"50"
"Hotel Moevenpick Malabata","Venue",,"0",,,,,,"50"
"Hotel Al Khaima","Venue",,"0",,,,,,"50"
"Hotel Mercure Shehrazade","Venue",,"0",,,,,,"50"
"Hotel Texuda","Venue",,"0",,,,,,"50"
"La Perle Du Sud Hotel","Venue",,"0",,,,,,"50"
"Hotel Menzeh Dalia","Venue",,"0",,,,,,"50"
"Kech Boutique Hotel & Spa","Venue",,"0",,,,,,"50"
"Exclusive Hotel Dar Rhizlane","Venue",,"0",,,,,,"50"
"Hotel Almas","Venue",,"0",,,,,,"50"
"Hotel Ibis Moussafir Marrakech Centre Gare","Venue",,"0",,,,,,"50"
"Myriem 'S Hotel","Venue",,"0",,,,,,"50"
"Pullman Marrakech Hotel And Spa","Venue",,"0",,,,,,"50"
"Hotel Ryads Naoura Barriere","Venue",,"0",,,,,,"50"
"Hicham Hotel","Venue",,"0",,,,,,"50"
"Hotel Kasbah Kanz Erremal","Venue",,"0",,,,,,"50"
"Dellarosa Hotel Suites & Spa","Venue",,"0",,,,,,"50"
"Moroccan House Hotel Casablanca","Venue",,"0",,,,,,"50"
"Hotel Club Almoggar","Venue",,"0",,,,,,"50"
"Le Littoral Hotel","Venue",,"0",,,,,,"50"
"Jm Suites Hotel","Venue",,"0",,,,,,"50"
"New Farah Hotel","Venue",,"0",,,,,,"50"
"Omeya Suites Hotel","Venue",,"0",,,,,,"50"
"Le Trianon Luxury Hotel & Spa","Venue",,"0",,,,,,"50"
"Hotel Orson Welles","Venue",,"0",,,,,,"50"
"Dar Catalina Marrakech Hotel","Venue",,"0",,,,,,"50"
"Hotel Club Eldorador Palmeraie","Venue",,"0",,,,,,"50"
"Hotel El Kennaria","Venue",,"0",,,,,,"50"
"Riad Hotel Emeraude","Venue",,"0",,,,,,"50"
"Hotel The Red House","Venue",,"0",,,,,,"50"
"Imperial Holiday Hotel","Venue",,"0",,,,,,"50"
"Hotel Reda Zagora","Venue",,"0",,,,,,"50"
"Ibis Moussafir Casa Voyageurs Casablanca Hotel","Venue",,"0",,,,,,"50"
"Hotel Sangho Club Marrakech","Venue",,"0",,,,,,"50"
"Palais Jena Hotel & Spa","Venue",,"0",,,,,,"50"
"Hotel Solazur Business & Spa","Venue",,"0",,,,,,"50"
"Sultana Hotel & Spa Marrakech","Venue",,"0",,,,,,"50"
"Palais Al Bahja Hotel & Spa","Venue",,"0",,,,,,"50"
"Zalagh Kasbah Hotel & Spa","Venue",,"0",,,,,,"50"
"Kenzi Bougafer Hotel","Venue",,"0",,,,,,"50"
"Suites Hotel Mohammed V","Venue",,"0",,,,,,"50"
"Bo Hotel & Spa","Venue",,"0",,,,,,"50"
"El Ati Hotel","Venue",,"0",,,,,,"50"
"Hotel Ouzoud","Venue",,"0",,,,,,"50"
"Hotel Royal Decameron Issil","Venue",,"0",,,,,,"50"
"Suites Appart Hotel Atlassia","Venue",,"0",,,,,,"50"
"La Tour Hassan Meridien Hotel","Venue",,"0",,,,,,"50"
"Blue Sea Hotel Marrakech Ryads Parc & Spa","Venue",,"0",,,,,,"50"
"Riad Mille Et Une Nuits Hotel","Venue",,"0",,,,,,"50"
"Lti Agadir Beach Club Hotel","Venue",,"0",,,,,,"50"
"Majorelle Hotel","Venue",,"0",,,,,,"50"
"Dream's Hotel","Venue",,"0",,,,,,"50"
"Le Caspien Hotel","Venue",,"0",,,,,,"50"
"Hotel Mont Gueliz","Venue",,"0",,,,,,"50"
"Ozoo Hotel","Venue",,"0",,,,,,"50"
"Daina Jurmala Beach Hotel & Spa","Venue",,"0",,,,,,"50"
"Balt Park Hotel Non Refundable Room","Venue",,"0",,,,,,"50"
"Nour Arjaan Fujairah Hotel Rotana","Venue",,"0",,,,,,"50"
"Hotel Wellton Centrum and Spa","Venue",,"0",,,,,,"50"
"Welton Gertrude Hotel","Venue",,"0",,,,,,"50"
"Apartment Hotel - Hostel In Riga","Venue",,"0",,,,,,"50"
"Port Hotel","Venue",,"0",,,,,,"50"
"Gutnebergs Hotel","Venue",,"0",,,,,,"50"
"Pegasa Pils Hotel","Venue",,"0",,,,,,"50"
"Viktorija Hotel","Venue",,"0",,,,,,"50"
"Astor Riga Hotel And Conference","Venue",,"0",,,,,,"50"
"Dikli Palace Hotel","Venue",,"0",,,,,,"50"
"Gallery Park Hotel","Venue",,"0",,,,,,"50"
"Wellton Centrum Hotel & Spa","Venue",,"0",,,,,,"50"
"Vilmaja Hotel","Venue",,"0",,,,,,"50"
"Hanza Hotel","Venue",,"0",,,,,,"50"
"Hotel Jurmala Spa & Conference Centre","Venue",,"0",,,,,,"50"
"Days Hotel Riga Ex Europa City Riga","Venue",,"0",,,,,,"50"
"Hotel Jurmala Spa & Conference","Venue",,"0",,,,,,"50"
"Dome Hotel And Spa","Venue",,"0",,,,,,"50"
"Avalon Hotel","Venue",,"0",,,,,,"50"
"Irina Hotel","Venue",,"0",,,,,,"50"
"Justus Hotel Riga","Venue",,"0",,,,,,"50"
"Hotel Garden Palace","Venue",,"0",,,,,,"50"
"Conference Hotel Tomo","Venue",,"0",,,,,,"50"
"Neiburgs Riga Hotel","Venue",,"0",,,,,,"50"
"Al Kendi Hotel","Venue",,"0",,,,,,"50"
"Al Yousser Hotel","Venue",,"0",,,,,,"50"
"Dekna Hotel","Venue",,"0",,,,,,"50"
"Asshajara Hotel","Venue",,"0",,,,,,"50"
"Hotel De la corniche","Venue",,"0",,,,,,"50"
"Hotel Koutoubia","Venue",,"0",,,,,,"50"
"Atel Hotel Diwane","Venue",,"0",,,,,,"50"
